VALEUR,SECTOR
SFBT,AGRO-ALIMENTAIRE ET BOISSONS
POULINA G H,AGRO-ALIMENTAIRE ET BOISSONS
DELICE HOLDING,AGRO-ALIMENTAIRE ET BOISSONS
LAND`OR,AGRO-ALIMENTAIRE ET BOISSONS
SAH LILAS,PRODUITS MENAGERS ET DE SOIN PERSONNEL
EURO-CYCLES,PRODUITS MENAGERS ET DE SOIN PERSONNEL
SAM,PRODUITS MENAGERS ET DE SOIN PERSONNEL
OFFICEPLAST,PRODUITS MENAGERS ET DE SOIN PERSONNEL
NEW BODY LINE,PRODUITS MENAGERS ET DE SOIN PERSONNEL
ASSAD,AUTOMOBILES ET EQUIPEMENTIERS
STIP,AUTOMOBILES ET EQUIPEMENTIERS
UNIMED,SANTE
SIPHAT,SANTE
ARTES,DISTRIBUTION
ENNAKL AUTOMOBILES,DISTRIBUTION
CITY CARS,DISTRIBUTION
SMART TUNISIE,DISTRIBUTION
MAGASIN GENERAL,DISTRIBUTION
MONOPRIX,DISTRIBUTION
SOTUMAG,DISTRIBUTION
STA,DISTRIBUTION
UADH,DISTRIBUTION
CELLCOM,DISTRIBUTION
TUNISAIR,VOYAGES ET LOISIRS
I.C.F.,CHIMIE
AIR LIQUIDE TUNISIE,CHIMIE
ALKIMIA,CHIMIE
TPR,MATIERES PREMIERES
SOTIPAPIER,MATIERES PREMIERES
SOTRAPIL,PETROLE ET GAZ
CARTHAGE CEMENT,BATIMENT ET MATERIAUX DE CONSTRUCTION
SOTEMAIL,BATIMENT ET MATERIAUX DE CONSTRUCTION
MPBS,BATIMENT ET MATERIAUX DE CONSTRUCTION
SIMPAR,BATIMENT ET MATERIAUX DE CONSTRUCTION
SITS,BATIMENT ET MATERIAUX DE CONSTRUCTION
CIMENTS DE BIZERTE,BATIMENT ET MATERIAUX DE CONSTRUCTION
SOMOCER,BATIMENT ET MATERIAUX DE CONSTRUCTION
SANIMED,BATIMENT ET MATERIAUX DE CONSTRUCTION
ESSOUKNA,BATIMENT ET MATERIAUX DE CONSTRUCTION
ONE TECH HOLDING,BIENS ET SERVICES INDUSTRIELS
SOTUVER,BIENS ET SERVICES INDUSTRIELS
SIAME,BIENS ET SERVICES INDUSTRIELS
TELNET HOLDING,TECHNOLOGIE
AETECH,TECHNOLOGIE
TAWASOL GH,TELECOMMUNICATIONS
SOTETEL,TELECOMMUNICATIONS
BIAT,BANQUES
ATTIJARI BANK,BANQUES
BT,BANQUES
AMEN BANK,BANQUES
UIB,BANQUES
BH,BANQUES
BNA,BANQUES
STB,BANQUES
UBCI,BANQUES
ATB,BANQUES
WIFACK INTERNATIONAL BANK,BANQUES
BTE (ADP),BANQUES
STAR,ASSURANCE
ASTREE,ASSURANCE
ASSURANCES MAGHREBIA,ASSURANCE
TUNIS RE,ASSURANCE
MAGHREBIA VIE,ASSURANCE
BH ASSURANCE,ASSURANCE
TUNISIE LEASING ET FACTORING,SERVICES FINANCIERS
CIL,SERVICES FINANCIERS
ATL,SERVICES FINANCIERS
HANNIBAL LEASE,SERVICES FINANCIERS
ATTIJARI LEASING,SERVICES FINANCIERS
BEST LEASE,SERVICES FINANCIERS
BH LEASING,SERVICES FINANCIERS
SPDIT SICAF,SERVICES FINANCIERS
PLACEM. DE TUNISIE,SERVICES FINANCIERS
TUNINVEST-SICAR,SERVICES FINANCIERS
AMI,Hors Cote
SITEX,Hors Cote
