N°,ISIN CODE,MNEMO,COMPANY NAME,NUMBER OF SHARES,FREE FLOAT,CAPPING COEFFICIENT,LIQUIDITY
1,TN0001100254,SFBT,SFBT,268125000.0,0.2,"1,000000000000000",53625000.0
2,TN0001600154,TJARI,ATTIJARI BANK,42000000.0,0.2,"1,000000000000000",8400000.0
3,TN0001800457,BIAT,BIAT,40800000.0,0.3,"0,585801736579725",12240000.0
4,TN0002200053,BT,BT,270000000.0,0.5,"0,993830309446811",135000000.0
5,TN0002600955,STB,STB,155375000.0,0.2,"1,000000000000000",31075000.0
6,TN0003100609,BNA,BNA,64000000.0,0.5,"1,000000000000000",32000000.0
7,TN0003400058,AB,AMEN BANK,34920000.0,0.3,"1,000000000000000",10476000.0
8,TN0003600350,ATB,ATB,100000000.0,0.3,"1,000000000000000",30000000.0
9,TN0003900107,UIB,UIB,32560000.0,0.2,"1,000000000000000",6512000.0
10,TN0004700100,ATL,ATL,32500000.0,0.3,"1,000000000000000",9750000.0
11,TN0005700018,PGH,POULINA GP HOLDING,180003600.0,0.1,"1,000000000000000",18000360.0
12,TN0006560015,SOTUV,SOTUVER,39254475.0,0.2,"1,000000000000000",7850895.0
13,TN0007270010,TPR,TPR,50000000.0,0.2,"1,000000000000000",10000000.0
14,TN0007400013,CC,CARTHAGE CEMENT,343624940.0,0.2,"1,000000000000000",68724988.0
15,TN0007530017,OTH,ONE TECH HOLDING,80400000.0,0.2,"1,000000000000000",16080000.0
16,TN0007550015,CITY,CITY CARS,18000000.0,0.2,"1,000000000000000",3600000.0
17,TN0007570013,ECYCL,EURO-CYCLES,9801000.0,0.3,"1,000000000000000",2940300.0
18,TN0007610017,SAH,SAH,84015979.0,0.3,"1,000000000000000",25204793.7
19,TN0007670011,DH,DELICE HOLDING,54907262.0,0.1,"1,000000000000000",5490726.2
20,TN0007720014,UMED,UNIMED,32000000.0,0.2,"1,000000000000000",6400000.0
