N°,CODE ISIN,MNEMO,VALEUR,GROUPE DE COTATION,COMPARTIMENT,TUNINDEX20,SECTOR,SHAARIA
1,TN0001100254,SFBT,SFBT,11 - Continu,A,True,AGRO-ALIMENTAIRE ET BOISSONS,False
2,TN0001400704,SPDIT,SPDIT - SICAF,11 - Continu,A,False,SERVICES FINANCIERS,False
3,TN0001600154,TJARI,ATTIJARI BANK,11 - Continu,A,True,BANQUES,False
4,TN0001800457,BIAT,BIAT,11 - Continu,A,True,BANQUES,False
5,TN0001900604,BH,BH BANK,11 - Continu,A,False,BANQUES,False
6,TN0002200053,BT,BT,11 - Continu,A,True,BANQUES,False
7,TN0002600955,STB,STB,11 - Continu,A,True,BANQUES,False
8,TN0003100609,BNA,BNA,11 - Continu,A,True,BANQUES,False
9,TN0003400058,AB,AMEN BANK,11 - Continu,A,True,BANQUES,False
10,TN0003600350,ATB,ATB,11 - Continu,A,True,BANQUES,False
11,TN0003900107,UIB,UIB,11 - Continu,A,True,BANQUES,False
12,TN0005700018,PGH,POULINA GP HOLDING,11 - Continu,A,True,AGRO-ALIMENTAIRE ET BOISSONS,False
13,TN0006560015,SOTUV,SOTUVER,11 - Continu,A,True,BIENS ET SERVICES INDUSTRIELS,True
14,TN0007200017,WIFAK,WIFACK INT BANK,11 - Continu,A,False,BANQUES,True
15,TN0007270010,TPR,TPR,11 - Continu,A,True,MATIERES PREMIERES,False
16,TN0007300015,ARTES,ARTES,11 - Continu,A,False,DISTRIBUTION,True
17,TN0007400013,CC,CARTHAGE CEMENT,11 - Continu,A,True,BATIMENT ET MATERIAUX DE CONSTRUCTION,False
18,TN0007410012,NAKL,ENNAKL AUTOMOBILES,11 - Continu,A,False,DISTRIBUTION,False
19,TN0007530017,OTH,ONE TECH HOLDING,11 - Continu,A,True,BIENS ET SERVICES INDUSTRIELS,False
20,TN0007550015,CITY,CITY CARS,11 - Continu,A,True,DISTRIBUTION,False
21,TN0007610017,SAH,SAH,11 - Continu,A,True,PRODUITS MENAGERS ET DE SOIN PERSONNEL,True
22,TN0007670011,DH,DELICE HOLDING,11 - Continu,A,True,AGRO-ALIMENTAIRE ET BOISSONS,True
23,TN0007720014,UMED,UNIMED,11 - Continu,A,True,SANTE,True
24,TN0002400505,UBCI,UBCI,12 - Fixing,A,False,BANQUES,False
25,TN0003000452,AST,ASTREE,12 - Fixing,A,False,ASSURANCE,False
26,TN0006060016,STAR,STAR,12 - Fixing,A,False,ASSURANCE,False
27,TN0007830011,ASSMA,ASSUR MAGHREBIA,12 - Fixing,A,False,ASSURANCE,False
1,TN0002100907,TLS,TUNISIE LEASING F,11 - Continu,B,False,SERVICES FINANCIERS,False
2,TN0003200755,ICF,ICF,11 - Continu,B,False,CHIMIE,True
3,TN0004700100,ATL,ATL,11 - Continu,B,True,SERVICES FINANCIERS,False
4,TN0006530018,SOTET,SOTETEL,11 - Continu,B,False,TELECOMMUNICATIONS,False
5,TN0006580013,MGR,SOTUMAG,11 - Continu,B,False,DISTRIBUTION,False
6,TN0006590012,SIAME,SIAME,11 - Continu,B,False,BIENS ET SERVICES INDUSTRIELS,True
7,TN0006610018,TJL,ATTIJARI LEASING,11 - Continu,B,False,SERVICES FINANCIERS,False
8,TN0006660013,STPIL,SOTRAPIL,11 - Continu,B,False,PETROLE ET GAZ,False
9,TN0007380017,TRE,TUNIS RE,11 - Continu,B,False,ASSURANCE,False
10,TN0007510019,LNDOR,LAND OR,11 - Continu,B,False,AGRO-ALIMENTAIRE ET BOISSONS,False
11,TN0007540016,NBL,NEW BODY LINE,11 - Continu,B,False,PRODUITS MENAGERS ET DE SOIN PERSONNEL,False
12,TN0007570013,ECYCL,EURO-CYCLES,11 - Continu,B,True,PRODUITS MENAGERS ET DE SOIN PERSONNEL,True
