N°,CODE ISIN,MNEMO,VALEUR,GROUPE DE COTATION
24,TN0002400505,UBCI,UBCI,12 - Fixing
25,TN0003000452,AST,ASTREE,12 - Fixing
26,TN0006060016,STAR,STAR,12 - Fixing
27,TN0007830011,ASSMA,ASSUR MAGHREBIA,12 - Fixing
19,TN0001000108,MNP,MONOPRIX,12 - Fixing
20,TN0001300557,BTE,BTE (ADP),12 - Fixing
21,TN0002300358,AL,AIR LIQUIDE TSIE,12 - Fixing
22,TN0002500650,PLTU,PLAC. TSIE-SICAF,12 - Fixing
23,TN0004000055,SIMPA,SIMPAR,12 - Fixing
24,TN0004100202,TINV,TUNINVEST-SICAR,12 - Fixing
25,TN0004200853,CIL,CIL,12 - Fixing
26,TN0006440010,MAG,MAGASIN GENERAL,12 - Fixing
27,TN0006550016,BHASS,BH ASSURANCE,12 - Fixing
28,TN0006720049,BHL,BH LEASING,12 - Fixing
29,TN0007180011,SITS,SITS,12 - Fixing
30,TN0007210016,SOKNA,ESSOUKNA,12 - Fixing
31,TN0007310139,HL,HANNIBAL LEASE,12 - Fixing
32,TN0007580012,BL,BEST LEASE,12 - Fixing
33,TN0007590011,CELL,CELLCOM,12 - Fixing
34,TN0007700016,PLAST,OFFICEPLAST,12 - Fixing
