N°,CODE ISIN,MNEMO,VALEUR,GROUPE DE COTATION
1,TN0002100907,TLS,TUNISIE LEASING F,11 - Continu
2,TN0003200755,ICF,ICF,11 - Continu
3,TN0004700100,ATL,ATL,11 - Continu
4,TN0006530018,SOTET,SOTETEL,11 - Continu
5,TN0006580013,MGR,SOTUMAG,11 - Continu
6,TN0006590012,SIAME,SIAME,11 - Continu
7,TN0006610018,TJL,ATTIJARI LEASING,11 - Continu
8,TN0006660013,STPIL,SOTRAPIL,11 - Continu
9,TN0007380017,TRE,TUNIS RE,11 - Continu
10,TN0007510019,LNDOR,LAND OR,11 - Continu
11,TN0007540016,NBL,NEW BODY LINE,11 - Continu
12,TN0007570013,ECYCL,EURO-CYCLES,11 - Continu
13,TN0007620016,MPBS,MPBS,11 - Continu
14,TN0007630015,STPAP,SOTIPAPIER,11 - Continu
15,TN0007740012,SAM,ATELIER MEUBLE INT,11 - Continu
16,TNQPQXRODTH8,SMART,SMART TUNISIE,11 - Continu
17,TNNGTFLC2986,STA,STA,11 - Continu
18,TNDKJ8O68X14,AMV,ASSU MAGHREBIA VIE,11 - Continu
19,TN0001000108,MNP,MONOPRIX,12 - Fixing
20,TN0001300557,BTE,BTE (ADP),12 - Fixing
21,TN0002300358,AL,AIR LIQUIDE TSIE,12 - Fixing
22,TN0002500650,PLTU,PLAC. TSIE-SICAF,12 - Fixing
23,TN0004000055,SIMPA,SIMPAR,12 - Fixing
24,TN0004100202,TINV,TUNINVEST-SICAR,12 - Fixing
25,TN0004200853,CIL,CIL,12 - Fixing
26,TN0006440010,MAG,MAGASIN GENERAL,12 - Fixing
27,TN0006550016,BHASS,BH ASSURANCE,12 - Fixing
28,TN0006720049,BHL,BH LEASING,12 - Fixing
29,TN0007180011,SITS,SITS,12 - Fixing
30,TN0007210016,SOKNA,ESSOUKNA,12 - Fixing
31,TN0007310139,HL,HANNIBAL LEASE,12 - Fixing
32,TN0007580012,BL,BEST LEASE,12 - Fixing
33,TN0007590011,CELL,CELLCOM,12 - Fixing
34,TN0007700016,PLAST,OFFICEPLAST,12 - Fixing
