N°,CODE ISIN,MNEMO,VALEUR,GROUPE DE COTATION
1,TN0001200401,TAIR,TUNISAIR,99 - Fixing
2,TN0003800703,ALKIM,ALKIMIA,99 - Fixing
3,TN0005030010,STIP,STIP,99 - Fixing
4,TN0006670012,SIPHA,SIPHAT,99 - Fixing
5,TN0006780019,SOMOC,SOMOCER,99 - Fixing
6,TN0007140015,ASSAD,ASSAD,99 - Fixing
7,TN0007350010,SCB,CIMENTS DE BIZERTE,99 - Fixing
8,TN0007440019,TLNET,TELNET HOLDING,99 - Fixing
9,TN0007500010,AETEC,AETECH,99 - Fixing
10,TN0007600018,SOTEM,SOTEMAIL,99 - Fixing
11,TN0007650013,TGH,TAWASOL GP HOLDING,99 - Fixing
12,TN0007690019,UADH,UADH,99 - Fixing
13,TN0007730013,SMD,SANIMED,99 - Fixing
